Stn Id,Stn Name,CIMIS Region,Date,Jul,Precip (in),qc,Avg Vap Pres (mBars),qc,Avg Air Temp (F),qc,Avg Rel Hum (%),qc
197,Palmdale,Los Angeles Basin,12/12/2025,346,0.00, ,7.4, ,49.2, ,62, 
199,Big Bear Lake,San Bernardino,12/12/2025,346,0.00, ,5.1, ,41.9, ,56, 
200,Indio 2,Imperial/Coachella Valley,12/12/2025,346,0.00, ,11.0, ,61.6, ,59, 
202,Nipomo,Central Coast Valleys,12/12/2025,346,0.00, ,11.8, ,56.9, ,74, 
204,Santa Clarita,Los Angeles Basin,12/12/2025,346,0.00, ,9.5, ,63.1, ,48, 
205,Coalinga,San Joaquin Valley,12/12/2025,346,0.00, ,9.0, ,42.1, ,99, 
206,Denair II,San Joaquin Valley,12/12/2025,346,0.00, ,8.3, ,39.9, ,100, 
207,Borrego Springs,Imperial/Coachella Valley,12/12/2025,346,0.00, ,9.6, ,61.5, ,51, 
208,La Quinta II,Imperial/Coachella Valley,12/12/2025,346,0.00, ,11.7, ,61.4, ,63, 
209,Watsonville West II,Monterey Bay,12/12/2025,346,0.00, ,10.2, ,53.9, ,72, 
210,Carmel,Monterey Bay,12/12/2025,346,0.00, ,9.3, ,54.2, ,65, 
211,Gilroy,Monterey Bay,12/12/2025,346,0.00, ,8.3, ,46.6, ,77, 
212,Hastings Tract East,Sacramento Valley,12/12/2025,346,0.00, ,8.7, ,41.0, ,100, 
213,El Cerrito,San Francisco Bay,12/12/2025,346,0.00, ,7.6, ,46.5, ,71, 
214,Salinas South II,Monterey Bay,12/12/2025,346,0.00, ,8.6, ,56.1, ,56, 
215,Chatsworth,Los Angeles Basin,12/12/2025,346,0.00, ,10.5, ,66.1, ,48, 
216,Arleta,Los Angeles Basin,12/12/2025,346,0.00, ,9.6, ,63.5, ,48, 
217,Moorpark,Central Coast Valleys,12/12/2025,346,0.00, ,12.2, ,59.5, ,70, 
218,Thermal South,Imperial/Coachella Valley,12/12/2025,346,0.00, ,10.8, ,59.3, ,63, 
220,Palmdale Central,Los Angeles Basin,12/12/2025,346,0.00, ,10.0, ,58.8, ,59, 
221,Cadiz Valley,San Bernardino,12/12/2025,346,0.00, ,9.2, ,63.6, ,46, 
222,Gerber South,Sacramento Valley,12/12/2025,346,0.00, ,8.8, ,41.3, ,100, 
223,North Hollywood,Los Angeles Basin,12/12/2025,346,0.00, ,12.4, ,59.8, ,71, 
224,Shasta College,Sacramento Valley,12/12/2025,346,0.00, ,6.5, ,34.3, ,98, 
225,Scott Valley,Northeast Plateau,12/12/2025,346,0.01, ,5.8, ,30.9, ,99, 
226,Woodland,Sacramento Valley,12/12/2025,346,0.00, ,8.9, ,42.1, ,98, 
227,Plymouth,Sierra Foothill,12/12/2025,346,0.01, ,8.3, ,42.0, ,92, 
228,Diamond Springs,Sierra Foothill,12/12/2025,346,0.00, ,7.1, ,58.2, ,43, 
229,Laguna Seca,Monterey Bay,12/12/2025,346,0.00, ,8.2, ,48.9, ,69, 
231,Lompoc,Central Coast Valleys,12/12/2025,346,0.00, ,11.7, ,52.4, ,87, 
232,Santa Maria II,Central Coast Valleys,12/12/2025,346,0.00, ,11.1, ,57.9, ,68, 
233,Joshua Tree,San Bernardino,12/12/2025,346,0.00, ,7.0, ,57.4, ,43, 
235,Verona,Sacramento Valley,12/12/2025,346,0.01,R,8.3, ,40.8, ,96, 
236,Macdoel II,Northeast Plateau,12/12/2025,346,0.00, ,3.7, ,28.1, ,71, 
237,Temecula East III,South Coast Valleys,12/12/2025,346,0.00, ,9.6, ,64.4, ,47, 
239,Hemet,South Coast Valleys,12/12/2025,346,0.00, ,8.4, ,62.2, ,44, 
240,Perris - Menifee,South Coast Valleys,12/12/2025,346,0.00, ,9.8, ,57.9, ,60, 
241,San Clemente,South Coast Valleys,12/12/2025,346,0.00, ,11.4, ,54.3, ,79, 
242,Staten Island,San Joaquin Valley,12/12/2025,346,0.00, ,8.9, ,41.6, ,99, 
243,Ryde,Sacramento Valley,12/12/2025,346,,M,,M,,M,,M
244,Biggs,Sacramento Valley,12/12/2025,346,0.00, ,8.5, ,40.3, ,100, 
245,Coto de Caza,South Coast Valleys,12/12/2025,346,0.00, ,11.6, ,59.7, ,66, 
246,Markleeville,Eastern Sierra Basin & Range,12/12/2025,346,0.00, ,4.0, ,38.2, ,51, 
247,Jersey Island,San Francisco Bay,12/12/2025,346,0.00, ,8.6, ,41.0, ,99, 
248,Holt,San Joaquin Valley,12/12/2025,346,0.00, ,8.8, ,41.2, ,100, 
249,Ripon,San Joaquin Valley,12/12/2025,346,0.00, ,9.1, ,42.2, ,100, 
250,Williams,Sacramento Valley,12/12/2025,346,0.00, ,8.8, ,41.4, ,99, 
251,Highland,Los Angeles Basin,12/12/2025,346,0.00, ,9.6, ,63.3, ,48, 
252,Soledad II,Monterey Bay,12/12/2025,346,0.00, ,9.7, ,54.7, ,66, 
253,Pescadero,San Francisco Bay,12/12/2025,346,0.00, ,8.7, ,49.8, ,72, 
254,Oakland Metro,San Francisco Bay,12/12/2025,346,0.00, ,10.9, ,46.1, ,100, 
256,Lancaster,Los Angeles Basin,12/12/2025,346,0.00, ,7.4, ,47.6, ,66, 
257,Ridgecrest,Bishop,12/12/2025,346,0.07, ,8.6, ,50.1, ,70, 
258,Lemon Cove,San Joaquin Valley,12/12/2025,346,0.00, ,9.2, ,43.3, ,97, 
259,Ferndale Plain,North Coast Valleys,12/12/2025,346,0.01, ,9.7, ,46.0, ,91, 
260,Montague,Northeast Plateau,12/12/2025,346,0.01, ,5.9, ,30.8, ,100, 
261,Gazelle,Northeast Plateau,12/12/2025,346,0.01, ,5.6, ,29.7, ,100, 
262,Linden,San Joaquin Valley,12/12/2025,346,0.00, ,8.6, ,40.8, ,99, 
263,Smith River,North Coast Valleys,12/12/2025,346,0.01, ,8.7, ,42.5, ,95, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,12/12/2025,346,0.00, ,4.9, ,31.1, ,82, 
265,Paso Robles,Central Coast Valleys,12/12/2025,346,0.00, ,8.2, ,48.0, ,72, 
266,Shandon,Central Coast Valleys,12/12/2025,346,0.00, ,8.9, ,49.7, ,73, 
267,Johnstonville,Northeast Plateau,12/12/2025,346,0.00, ,4.8, ,31.8, ,80, 
268,Nubieber,Northeast Plateau,12/12/2025,346,0.00,H,4.4, ,29.8, ,79, 
271,Pauma Valley,South Coast Valleys,12/12/2025,346,0.00, ,9.6, ,52.7, ,70, 
273,WildHawk,Sacramento Valley,12/12/2025,346,0.00, ,8.8, ,41.5, ,99, 
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
